"","1-C","1-D","2-C","2-D","3-C","3-D","4-C","4-D"
"ENSG00000227232",7.00657233381609,6.91593710130814,6.64053623561478,6.64387109325539,7.16799866178086,6.95188605486235,7.22420158545136,6.94364536911301
"ENSG00000279457",8.02005412434944,7.66526406239977,7.49927810971022,7.49801583487414,7.81689364734994,7.58002551424316,8.14446243460597,7.9415928439583
"ENSG00000228463",3.91309978806633,3.83243118916167,3.77756587381419,3.92524383587084,3.81292587135243,4.03827483361246,3.99359344453374,3.95566968563037
"ENSG00000237094",3.36987143863128,3.22502096352244,3.27876582990418,3.09406539334815,3.45790745618051,3.27281278228785,3.46459288166129,3.2108782443487
"ENSG00000225972",3.67957903410498,3.54968236193497,3.33890440207249,3.40408994806204,3.31756584672282,3.33565737731464,3.68298178326157,3.74867006331331
"ENSG00000225630",8.58596341961359,8.76142835788634,7.98996651725246,8.39793357036345,7.92942291748125,8.51412420678418,9.0763073740929,9.0412124044879
"ENSG00000237973",10.5442933460729,10.415676973214,9.72071012520649,10.2225043713531,9.71440193508531,9.96895095795442,11.2552238146647,10.7992354052539
"ENSG00000229344",5.70312735172915,5.26279617914674,5.12002495426231,5.28253225902676,5.091248671401,5.24211591082707,6.07319744557595,5.67704617229309
"ENSG00000240409",5.55476785044459,5.60848150641312,5.30185260174649,5.3402939473546,5.15219024836886,5.27575243861166,6.03677693096067,5.86808963701431
"ENSG00000248527",12.8867838402655,12.8139178044869,12.2905941495998,12.4351367907613,12.1374228528221,12.2777876837985,13.5981081884128,13.3162207806481
"ENSG00000198744",5.39314023631301,5.32109078311111,5.00211043976044,5.14524301391569,4.87480980396123,5.10070581724673,5.8877762972917,5.46635411460196
"ENSG00000228327",6.6624113726534,6.1044798984215,6.71260197608896,6.38916101111367,6.95079053430438,6.28769708531855,6.52476903443184,6.01056151343784
"ENSG00000237491",5.24595392566666,4.9935715597287,5.21822558696211,5.25370998646366,5.1674649718265,5.12966129033317,5.21689690716643,4.87820619213219
"ENSG00000228794",9.30775004906351,9.23115468585295,9.21700309235452,9.49095376567938,9.22862811564444,9.2899362422961,9.35501392940711,9.1936178475467
"ENSG00000225880",5.73558228292716,7.45645809593046,5.93868336336221,7.38191734689906,5.73553449852563,7.18916205011044,6.15756672180086,7.50870850669669
"ENSG00000272438",5.58899654351216,4.73075647905144,5.19837268465747,4.76617793974719,5.06002236338873,4.75308071209296,5.76307425103997,4.9462150046053
"ENSG00000230699",7.30778802348878,6.20874041028013,7.17528572579372,6.24140815421918,7.1097226378133,6.24180468258658,7.31611543747951,6.24157349691199
"ENSG00000241180",5.06665228577914,4.15236135133593,4.18971154152974,3.92306596979213,4.50981853228359,3.95592896677276,5.15572053271408,4.05053724301961
"ENSG00000223764",9.62969073631126,8.79608799982566,9.61920928534352,8.9210408793861,9.23048229527806,8.97529636520278,9.55339851131596,9.08536700036967
"ENSG00000187634",11.6015888207106,11.2039740813937,11.4108721855723,11.0687359470951,11.4295475374545,11.0447400371312,11.387042273162,11.4610934464842
"ENSG00000188976",13.3003160066928,13.4317206017482,13.4503750469007,13.4104458138132,13.2699034640113,13.3011097934821,13.4303472769598,13.5770499309008
"ENSG00000187961",9.64602995117413,9.32534455558842,9.569510420296,9.27274112708572,9.66760310434002,9.45438669929397,9.89197855686238,9.50354426439606
"ENSG00000187583",3.7554413987188,3.60905584130335,3.64412896365974,3.80887010295585,3.76394281884813,3.67341698599711,3.95930281947557,3.76878405348676
"ENSG00000187642",3.6118140884245,3.43234148941026,3.48176622411774,3.36247376555979,3.44801593749864,3.49141856083561,3.59435505816854,3.5122047369123
"ENSG00000272512",8.81792477314863,10.1455366969869,8.8623486261957,10.0141718460362,8.69930352231921,10.0860467032853,8.9019027250221,10.1885090361682
"ENSG00000188290",12.3877898393016,11.6286613874276,11.5649878972217,11.1848624059627,11.8313834013741,11.4720174459755,12.649662980157,11.9540240766124
"ENSG00000187608",8.84149146108801,7.83348135130803,7.79156969466756,7.38458909951988,8.29833499177289,7.55223075839134,8.6896111325433,8.04692614970105
"ENSG00000224969",4.02236536138614,3.64970856652934,3.79434881305418,3.63206640349873,4.19475424544159,3.60210385836067,3.86256134154316,3.68541550990295
"ENSG00000188157",10.8531246686687,10.1162291263563,11.4582670489181,10.1611553802601,11.2180666429862,10.3392022401152,11.0218783142581,10.0887351412966
"ENSG00000217801",6.80509433688673,6.7353702352213,6.39195900103278,6.56325645249263,6.47475449538303,6.64199541531571,6.76864173357989,6.97213534167415
"ENSG00000131591",9.4897474033721,9.43067886452554,9.23213756420681,9.46417351540507,9.33834564433357,9.39869336778409,9.54801879645546,9.52129482452779
"ENSG00000078808",12.3660925340573,12.5877959507084,12.3008541905933,12.477146529305,12.3482425254435,12.4983526884708,12.4667690645551,12.7224562236281
