,ID,log2FoldChange,pvalue,padj,X1.C,X1.D,X2.C,X2.D,X3.C,X3.D,X4.C,X4.D,Gene.Name,gene_type,x,ENSEMBLE,X.1,X,Accession,Cont_Global_Rep1,Cont_Global_Rep2,Cont_Global_Rep3,Cont_Global_Rep4,Cont_PISA_Rep1,Cont_PISA_Rep2,Cont_PISA_Rep3,Cont_PISA_Rep4,DZNep_Global_Rep1,DZNep_Global_Rep2,DZNep_Global_Rep3,DZNep_Global_Rep4,DZNep_PISA_Rep1,DZNep_PISA_Rep2,DZNep_PISA_Rep3,DZNep_PISA_Rep4,cont_global_mean,cont_global_sd,dznep_global_mean,dznep_global_sd,FC_global,log10FC_global,pval,p.adjust,protein_type,cont_pisa_rep1_norm,cont_pisa_rep2_norm,cont_pisa_rep3_norm,cont_pisa_rep4_norm,dznep_pisa_rep1_norm,dznep_pisa_rep2_norm,dznep_pisa_rep3_norm,dznep_pisa_rep4_norm,rep1_sm,rep2_sm,rep3_sm,rep4_sm,pisa_sm_mean,pisa_sm_sd,pval.pisa,log10.pvalue_pisa,protein_type.pisa,Gene.Name
1,ENSG00000001084,0.373082769825009,0.159554543647165,0.251929744059707,1057.5356552202,1754.00035645255,1836.45424747257,2116.58113790325,1738.71608916093,1975.27701995822,945.424847386905,1381.49020581827,GCLC,ns,E1CEI4,ENSG00000001084,2822,2822,P48506,1487.8,1162,1593.3,1486.6,1089,1200.8,1190.1,1178.8,1370.7,1518.7,1564.3,1448.6,1109.3,1257.2,1368.2,1323.8,1432.425,187.093352367207,1475.575,84.5740454670738,1.03012374120809,0.0128893964488861,0.694980790484713,0.158027199297345,ns,0.731953219518753,1.03339070567986,0.74694031255884,0.79295035651823,0.80929452104764,0.827813261341937,0.874640414242792,0.913847853099544,1.10566426851669,0.801065131311901,1.17096426519876,1.15246540415489,1.05753976729556,0.17317736551339,0.707202424327016,0.150456259208161,ns,GCLC
2,ENSG00000001167,0.837391783920234,0.000222758595095756,0.000866626208456034,1270.27606399628,2933.00783493668,2146.24988377446,3445.48482037675,1775.44321932868,3203.45538566902,1391.27861064323,2185.85950317988,NFYA,ns,P23511,ENSG00000001167,1131,1131,P23511,172.3,244.1,284.9,250.3,287,240.5,334.7,323.2,287.7,339.1,304.2,289.2,352.1,458.8,304.7,350.9,237.9,47.2742354071786,305.05,23.8912117733697,1.2822614543926,0.10797658729114,0.058261865615151,1.23461561285299,ns,1.66569936157864,0.985251945923802,1.17479817479817,1.29125049940072,1.22384428223844,1.35299321734002,1.00164365548981,1.21334716459198,0.734732995922243,1.37324592246444,0.852609134894074,0.939668302281473,0.975064088890558,0.278421673188686,0.63722793750199,0.19570519200936,ns,NFYA
3,ENSG00000002330,0.321305714964363,0.228568956072484,0.335159606885437,1612.51063463605,1598.0085977608,799.933400940895,1390.1137914844,1138.54103520018,1256.6803952948,1526.64625924635,2096.9851332616,BAD,ns,A0A024R562,ENSG00000002330,3489,3489,Q92934,534.6,599.3,583.7,656.1,656.8,729.8,760.4,702.8,612.9,562,521,673.4,705.3,587.5,716.6,649.8,593.425,50.0587238484296,592.325,65.8365336774854,0.998146353793655,-0.000805775360971565,0.979700996790405,0.0089064500807929,ns,1.22858211747101,1.21775404638745,1.30272400205585,1.07117817405883,1.15075868820362,1.04537366548043,1.37543186180422,0.964953964953965,0.936655899381328,0.85844400893727,1.05581217482263,0.9008342293772,0.937936578129606,0.0848369991484361,0.517429230616414,0.286149040758961,ns,BAD
4,ENSG00000002549,0.316091078107899,0.293897552807063,0.409539645859989,1939.32923362539,3656.73704096001,4078.23189229689,3878.78796048023,3282.15133986896,3367.5579802436,1624.4117832375,2699.98085827674,LAP3,ns,P28838,ENSG00000002549,3137,3137,P28838,45491.2,46370.6,46173.3,45158.1,59097.5,64298,62241.6,57153.1,45519.5,44163,43173,48479.6,56220.2,63191.2,62868.7,55304.4,45798.3,569.303299363939,45333.775,2307.26182645866,0.989857156269993,-0.00442747279603232,0.719308446522986,0.143084839940022,ns,1.29909740785031,1.38661134425692,1.34799981807668,1.26562233574929,1.23507947143532,1.43086293956479,1.45620410904964,1.14077673908201,0.950721219187925,1.03191348137397,1.08027025636201,0.901356357942773,0.991065328716668,0.0802110493275982,0.916274280744058,0.0379745036431031,ns,LAP3
5,ENSG00000002586,-0.355174686714005,0.134228769926329,0.219354774842393,11151.9138919285,7795.05329043931,7721.67855439487,6682.37203241372,7833.62812968178,6632.33591441154,13131.7362609206,10034.9288565952,CD99,ns,P14209,ENSG00000002586,3426,3426,P14209,235.6,297.2,401.3,270.1,413.5,514.6,348.8,200.1,356.1,225,290,359.3,283.1,259.6,485.6,222.1,301.05,71.4294290424705,307.6,63.6596680272002,1.02175718319216,0.00934769958622665,0.895634333958824,0.0478692661838408,ns,1.75509337860781,1.73149394347241,0.869175180662846,0.740836727138097,0.795001404099972,1.15377777777778,1.67448275862069,0.618146395769552,0.452968151888642,0.666348145269249,1.9265192976906,0.834389512730415,0.970056276894727,0.656466739265729,0.573039518492645,0.241815426773481,ns,CD99
6,ENSG00000002822,-1.02105431756207,1.73954582848508E-06,1.04988323588379E-05,1726.58882484931,906.021900773575,1397.20510320592,728.883534932436,1419.81710526537,760.917820106338,2315.21652968043,984.368021246728,MAD1L1,down,Q9Y6D9,ENSG00000002822,102,102,Q9Y6D9,1641.5,1980,2416.3,2446.8,1332.9,1493.2,1444.7,1451.5,1219.6,1142.1,1200.1,1143.6,945.6,973.4,1190.2,925.2,2121.15,384.33877851014,1176.35,39.4978902390157,0.554581241307781,-0.256034824506263,0.0155709278480758,1.80768550770848,Down with DZNep,0.812001218397807,0.754141414141414,0.597897612051484,0.593223802517574,0.775336175795343,0.852289641887751,0.991750687442713,0.809024134312697,0.954846074400222,1.1301456542578,1.65872996889861,1.36377557825443,1.27687431895277,0.304738717371971,0.0622951253213702,1.20554593614755,ns,MAD1L1
7,ENSG00000002834,0.870949103500993,3.35978349820946E-17,9.45192700777573E-16,2856.57954682658,5539.52129121621,3350.61389925355,5582.2008625599,3040.2897509594,5579.48821553569,2824.45673156838,5384.21182821353,LASP1,ns,B4DIC4,ENSG00000002834,577,577,Q14847,11411.6,10191.5,11034.4,11161.5,13924.1,14319.9,14919.6,14852.8,11697.4,12951.1,12652.4,13156.6,14631.9,17133.9,17434.3,15802.4,10949.75,529.229682337137,12614.375,645.414783298307,1.15202401881321,0.0614615338869317,0.00778556578521385,2.10870982131451,Up with DZNep,1.22017070349469,1.40508266692832,1.35209889074168,1.3307171975093,1.2508677141929,1.32296870536093,1.37794410546616,1.20110058829789,1.02515796405395,0.941559337752775,1.01911488494033,0.902596427359615,0.972107153526669,0.0599695072824178,0.50754820067513,0.294522707516801,ns,LASP1
8,ENSG00000003249,-0.124414644344408,0.607530005693908,0.70753799346208,1951.66201094574,1754.00035645255,1488.26895018803,1148.49494012558,1476.25147601093,1606.47803109851,2322.73695460283,2131.85988601434,DBNDD1,ns,Q9H9R9,ENSG00000003249,2611,2611,Q9H9R9,738.1,589.2,594.3,623.4,640.3,567,634,592,652.9,595.1,584.6,614,655.4,696.8,637.5,592.3,636.25,69.5510603801265,611.65,30.0704173565981,0.961335952848723,-0.0171248152747027,0.550855530059926,0.258962286310875,ns,0.867497629047554,0.962321792260692,1.06680127881541,0.949631055502085,1.00382907030173,1.17089564779029,1.09048922340062,0.964657980456026,1.15715482865798,1.21674023929107,1.02220464584698,1.01582396117616,1.10298091874305,0.0999952282900136,0.171100442483448,0.76674886732698,ns,DBNDD1
9,ENSG00000003756,-0.397270455677252,0.00446694018537419,0.0122755706259557,2108.90492178023,1561.73144457667,2261.41886672242,1950.66952663686,2584.33586668175,1791.30937446146,2114.31374961071,1582.86377816474,RBM5,ns,A0A024R2U6,ENSG00000003756,2023,2023,P52756,552.5,696.8,811.3,835.5,562.8,677.9,596.3,726.3,876.4,698.9,742.5,927.2,543.4,567,653.7,666.3,724.025,129.364636460923,811.25,108.07097976176,1.12047235937986,0.0494011475137684,0.341813932649384,0.466210239013103,ns,1.01864253393665,0.972876004592423,0.73499322075681,0.869299820466786,0.620036513007759,0.811274860495064,0.88040404040404,0.718615185504745,0.608689007528051,0.833893380724237,1.19783967462653,0.82665976523367,0.866770457028121,0.244201167864938,0.14644830881596,0.834315639183048,ns,RBM5
10,ENSG00000004142,0.220694625123945,0.0629195063653381,0.118506055076976,7354.96007442505,9012.15177976678,7640.43531836181,8960.83780072738,7379.46581272939,7284.42780337895,6889.78357533207,8845.81228692917,POLDIP2,ns,B4DEM9,ENSG00000004142,2829,2829,Q9Y2S7,997.1,980.5,1358.8,1277.7,1051,1240.1,1061.1,940,1281.4,1068.1,1064.3,1432.5,1026.4,961.6,1201.9,1016.4,1153.525,193.187031569582,1211.575,178.846663839913,1.05032400684857,0.0213232920987198,0.674745200211299,0.170860196106994,ns,1.05405676461739,1.26476287608363,0.780909626140712,0.735696955466854,0.800998907444982,0.900290234996723,1.12928685521,0.709528795811518,0.759920086216357,0.711825316840809,1.44611721690637,0.964430789796146,0.970573352439919,0.335412702305964,0.648607184793565,0.188018244841405,ns,POLDIP2
