"","Accession","Cont_Global_Rep1.x","Cont_Global_Rep2.x","Cont_Global_Rep3.x","Cont_Global_Rep4.x","Cont_PISA_Rep1.x","Cont_PISA_Rep2.x","Cont_PISA_Rep3.x","Cont_PISA_Rep4.x","DZNep_Global_Rep1.x","DZNep_Global_Rep2.x","DZNep_Global_Rep3.x","DZNep_Global_Rep4.x","DZNep_PISA_Rep1.x","DZNep_PISA_Rep2.x","DZNep_PISA_Rep3.x","DZNep_PISA_Rep4.x","U1","Methyl_state","Format2","Format3","Format4","cont_global_mean","cont_global_sd","dznep_global_mean","dznep_global_sd","FC_global","log10FC_global","pval","p.adjust","protein_type","rep1_sm","rep2_sm","rep3_sm","rep4_sm","pisa_sm_mean","pisa_sm_sd","pval.pisa","log10.pvalue_pisa","protein_type.pisa","Gene.Name","DZNep_Kme_global_Norm_rep1","DZNep_Kme_global_Norm_rep2","DZNep_Kme_global_Norm_rep3","DZNep_Kme_global_Norm_rep4","Cont_Kme_global_Norm_rep1","Cont_Kme_global_Norm_rep2","Cont_Kme_global_Norm_rep3","Cont_Kme_global_Norm_rep4","FC_global_rep1","FC_global_rep2","FC_global_rep3","FC_global_rep4","kme_cont_pisa_rep1_norm","kme_cont_pisa_rep2_norm","kme_cont_pisa_rep3_norm","kme_cont_pisa_rep4_norm","kme_dznep_pisa_rep1_norm","kme_dznep_pisa_rep2_norm","kme_dznep_pisa_rep3_norm","kme_dznep_pisa_rep4_norm","kme_rep1_sm","kme_rep2_sm","kme_rep3_sm","kme_rep4_sm","Norm_FC_global_rep1","Norm_FC_global_rep2","Norm_FC_global_rep3","Norm_FC_global_rep4","Norm_kme_cont_pisa_rep1_norm","Norm_kme_cont_pisa_rep2_norm","Norm_kme_cont_pisa_rep3_norm","Norm_kme_cont_pisa_rep4_norm","Norm_kme_dznep_pisa_rep1_norm","Norm_kme_dznep_pisa_rep2_norm","Norm_kme_dznep_pisa_rep3_norm","Norm_kme_dznep_pisa_rep4_norm","Norm_kme_rep1_sm","Norm_kme_rep2_sm","Norm_kme_rep3_sm","Norm_kme_rep4_sm","Global_FC_mean","Global_FC_sd","Global_Kme_FC_mean","Global_Kme_FC_sd","global.kme.pval","global_kme_protein_type","kme.pisa.sm.mean","kme.pisa.sm.sd","kme.pisa.pval","global_kme_pisa_type","Norm_Global_Kme_FC_mean","Norm_Global_Kme_FC_sd","Norm.global.kme.pval","Norm_global_kme_protein_type","Norm.kme.pisa.sm.mean","Norm.kme.pisa.sm.sd","Norm.kme.pisa.pval","Norm_global_kme_pisa_type"
"1","P68104",10690,8915.1,12950.3,10525.8,7222.1,5835.9,9869.6,11423.9,3627,4269.3,4207.8,3128.8,3226.2,3925.3,3153.3,3658.2,"P68104","m1","P68104-K172","P68104-K172-m1","P68104-K172-m1-1",558006.675,8507.96398181337,665816.525,34191.9189573964,1.19320530529496,0.0767151756782948,0.00620430700243779,2.20730672050287,"Up with DZNep",1.00316446621772,0.94461266037644,0.958622231388619,1.05938200269969,0.991445340170617,0.0517151956962857,0.881340976581177,0.0548560375604069,"ns","EEF1A1",0.00567431230839222,0.00598699445249775,0.00629237517199054,0.00487154810692681,0.0189881568254786,0.0157301273287914,0.0233573237852489,0.0192129863710422,0.339289055191768,0.478884140391022,0.324919113842923,0.297250565277699,0.675594013096352,0.654608473264461,0.762113618989521,1.08532368086036,0.889495450785773,0.919424730049422,0.749393982603736,1.16920225006392,1.31661239374973,1.40454144362714,0.983310052374277,1.07728438131661,0.298834287105653,0.380606865243839,0.269396238620643,0.253554966044696,380347.606478017,371001.446969748,422548.408830683,594592.624976724,568562.289958643,655637.821471904,501130.322622273,750931.72020583,1.49484913346367,1.7672109551782,1.18597138729986,1.26293480386715,0.360085718675853,0.0810977040614807,0.360085718675853,0.0810977040614807,0.0020014495126067,"Down with DZNep",1.19543706776694,0.197792844162562,0.3404018629279,"ns",0.300598089253708,0.0565423916415605,0.00252485108702524,"Norm.Down with DZNep",1.42774156995222,0.261633955462798,0.0566642631595348,"ns"
"2","P23528",248.4,213,256.2,255.1,220.4,230.6,225.3,235.2,319.7,284,308.4,296.3,242.8,294.7,304.3,273.9,"P23528","m1","P23528-K144","P23528-K144-m1","P23528-K144-m1-2",178932.775,5518.43037911748,202829.825,7044.37230057914,1.13355322969758,0.0544419186585197,0.00209488126216907,2.67884058780325,"Up with DZNep",1.02613041849007,1.17239046049852,0.970582974606579,0.955935116500302,1.03125974252387,0.0988258720706317,0.522465250038278,0.281942589845612,"ns","CFL1",0.00157646262891046,0.00134640802990164,0.0015130248182187,0.00152919718953891,0.00137373804408239,0.00115118022996582,0.00143927166786419,0.00148420609228492,1.28703703703704,1.33333333333333,1.20374707259953,1.16150529204234,0.887278582930757,1.08262910798122,0.879391100702576,0.921991375931007,0.759461995620894,1.03767605633803,0.986705577172503,0.924400944988188,0.855945370745146,0.95847788378144,1.12203270693118,1.00261343990853,1.14757150076853,1.16958925705458,1.05124338372057,1.03031324119195,160438.157004831,200316.157276995,156537.507845433,158468.558526068,154015.702971536,218878.67084507,201120.296465629,179113.591022612,0.959969285653775,1.09266608255872,1.28480579021494,1.13027841414452,1.24640568375306,0.0779640018414918,1.24640568375306,0.0779640018414918,0.00439686185560118,"Up with DZNep",0.984767350341575,0.110221745452313,0.844763691197891,"ns",1.09967934568391,0.0691345381369019,0.204572157520749,"ns",1.11692989314299,0.133648624681903,0.3148558155066,"ns"
"3","P13639",2544,2581.1,2657.2,2600.4,2813.7,3740.9,3251.5,2898.7,2057.4,2163.6,1888.1,2255.2,2622.5,2142.1,2824.4,2849.3,"P13639","m1","P13639-K529","P13639-K529-m1","P13639-K529-m1-3",578412.55,42443.9796637481,617931.275,58228.3324717658,1.0683227308951,0.0287024690541125,0.318484945731733,0.496911091241206,"ns",1.33411792763295,0.893867056404258,1.0599068445385,1.16182724342081,1.11242976799913,0.184493962944065,0.303467888247176,0.517887257454892,"ns","EEF2",0.00351100598154324,0.00307075205181617,0.00324399643316742,0.00376414286718127,0.00415050880441364,0.00418327445479751,0.0048589848430101,0.00484385262498291,0.80872641509434,0.838247258920615,0.710559987957248,0.867251192124288,1.1060141509434,1.4493433032428,1.2236564805058,1.1147131210583,1.27466705550695,0.990062858199298,1.49589534452624,1.26343561546648,1.1524871127731,0.68311134841835,1.22247981223286,1.13341773017526,0.84592182476752,0.734054646664299,0.667628432271007,0.777096901703229,677916.885035377,894251.630014335,669172.698630137,598428.611359791,746936.92172159,697581.557824921,870654.471479265,756958.516331146,1.10181194510683,0.780073006759562,1.3010908443539,1.26491030335453,0.806196213524123,0.0680873690771368,0.806196213524123,0.0680873690771368,0.00531871081997005,"Down with DZNep",1.04787400089989,0.246171088737588,0.812108153939945,"ns",0.756175451351514,0.0748821812676377,0.00501868127094109,"Norm.Down with DZNep",1.11197152489371,0.23763854229429,0.467815602465624,"ns"
"4","Q14966",154.5,112.1,113.6,117.5,200.4,171.6,201.6,221.8,145.5,191.8,163.6,146.6,203,297,237.7,236,"Q14966","m1","Q14966-K1298","Q14966-K1298-m1","Q14966-K1298-m1-4",4954.3,421.626825522286,3718.275,247.133895894513,0.750514704398199,-0.124640794458101,0.00426920324288534,2.36965316935569,"Down with DZNep",1.187669321922,1.3897139705552,1.15962193120819,1.24259120466848,1.24489910708847,0.102508725044563,0.020648761373447,1.68510599460374,"Stabilized with DZNep","ZNF638",0.040730061864905,0.0540023087535546,0.0400872313836956,0.0399672846237732,0.0333491624935244,0.0246341141827451,0.0215473909827204,0.0219146912359886,0.941747572815534,1.71097234611954,1.44014084507042,1.24765957446808,1.29708737864078,1.53077609277431,1.77464788732394,1.88765957446808,1.39518900343643,1.54848800834202,1.45293398533007,1.60982264665757,1.07563224067329,1.01157054624208,0.81871676951139,0.852814071155386,1.22132188095619,2.19217579138203,1.86042158959491,1.82376672312583,6009.14640776699,6965.94968777877,9356.12112676056,10121.0643404255,4984.03367697595,5499.76485922836,5929.56888753056,5904.82946793997,0.829407928975394,0.789521186016787,0.633763587195413,0.5834198133051,1.33513008461839,0.323875262037351,1.33513008461839,0.323875262037351,0.0446313627597162,"Up with DZNep",0.939683406895537,0.123597539162293,0.439156573476851,"ns",1.77442149626474,0.40425602572717,0.00656275376152864,"Norm.Up with DZNep",0.709028128873173,0.118901399900348,0.0766117678302741,"ns"
"5","Q9UKN8",77.2,68.7,51.5,56.1,43.3,22.9,55.5,34.3,38.1,49.5,57.8,38.5,37.9,36.6,32.6,36.9,"Q9UKN8","m1","Q9UKN8-K33","Q9UKN8-K33-m1","Q9UKN8-K33-m1-6",951.125,117.533013092776,779.725,66.0975730769796,0.819792351163096,-0.0862961380604502,0.0545320012394896,1.26334856408983,"ns",1.29943953320144,0.973360073850412,1.32973963352884,1.41984662524981,1.25559646645763,0.194982836595125,0.0854882546572116,1.06809354945846,"ns","GTF3C4",0.0513615529792397,0.0665501478892175,0.0657939669891861,0.0510068892421834,0.0779640476671379,0.0881221139045664,0.0492022547052642,0.0567813765182186,0.493523316062176,0.720524017467249,1.12233009708738,0.686274509803922,0.560880829015544,0.333333333333333,1.07766990291262,0.611408199643494,0.994750656167979,0.739393939393939,0.56401384083045,0.958441558441558,1.77355082346808,2.21818181818182,0.523364194644471,1.56759683465223,0.658785100518694,0.755203716076186,1.33721447082682,0.898303147438096,555.384196891192,259.866666666667,1127.99708737864,604.071301247772,737.906036745407,549.961212121212,495.48615916955,723.431688311688,1.3286406795078,2.11632072391436,0.439261913628707,1.19759320930719,0.755662985105181,0.264077945972166,0.755662985105181,0.264077945972166,0.062540062264154,"ns",1.52067341773665,0.718167214637555,0.405457815210803,"ns",0.912376608714948,0.299831754269947,0.401207596095322,"ns",1.27045413158951,0.686795744396719,0.96035659751582,"ns"
"6","Q15022",5179.6,4529.2,4580.7,5096.4,3618.6,3846,4369.2,5237.7,5710.2,7272.4,7190.8,4613.3,5518.3,4535.6,5604,8094.8,"Q15022","m1","Q15022-K459","Q15022-K459-m1","Q15022-K459-m1-7",5690.4,296.523006414904,6750.3,1272.8070186272,1.18626107127794,0.0741802786892841,0.194344142881599,0.711428543545872,"ns",1.37155099491852,0.756226726353844,0.872549369010509,1.69948697515362,1.17495351635912,0.439911472523202,0.547402788543399,0.261692994565781,"ns","SUZ12",0.916197352587244,0.929154582273953,0.927737424041079,0.888728351538269,0.875494405192522,0.839424716435614,0.836443649112556,0.853182442160244,1.10244034288362,1.6056698754747,1.56980374178619,0.905207597519818,0.698625376476948,0.849156583944184,0.953828017551903,1.02772545326113,0.966393471332002,0.623673065287938,0.77932914279357,1.75466585741226,1.3832785121625,0.734461790770184,0.817054152795593,1.70732937658053,1.04649138492869,1.10689447675469,1.10914515882257,1.04166272958926,4133.20745231292,4581.70926432924,5223.54375532124,6139.01522251001,6023.0473100767,4881.42671470216,6040.50225287868,9108.29499924132,1.45723324550435,1.06541607794854,1.15639928290544,1.48367362990791,1.29578038941608,0.346913904101408,1.29578038941608,0.346913904101408,0.122177739550356,"ns",1.1605309580772,0.464799682452877,0.603789836747229,"ns",1.0760484375238,0.0369813798427977,0.00252776620639596,"Norm.Up with DZNep",1.29068055906656,0.211156869280673,0.206488319568087,"ns"
"7","Q9UQE7",248.4,295.2,325.1,341.6,305.5,282.3,277.6,257.9,307.3,325.5,340,368,276.7,268.2,295.4,274.3,"Q9UQE7","m1","Q9UQE7-K874","Q9UQE7-K874-m1","Q9UQE7-K874-m1-9",67920.425,1904.11111261046,74469.825,4134.6091095975,1.09642754738357,0.0399799385113719,0.0423667323545829,1.37297503080899,"Up with DZNep",1.03977391355778,0.993843600434031,0.982065457743564,1.05802169573492,1.01842616686757,0.0362856075025825,0.6279710616309,0.202060369102911,"ns","SMC3",0.00437877781799218,0.00413579642987379,0.00440226898122432,0.00512792643655097,0.00371182823978052,0.00449102479648142,0.00467463746755721,0.00491624678522651,1.23711755233494,1.10264227642276,1.04583205167641,1.07728337236534,1.22987117552335,0.95630081300813,0.853891110427561,0.754976580796253,0.900423039375204,0.823963133640553,0.868823529411765,0.745380434782609,0.732127931197383,0.861615009035393,1.017487497881,0.987289478564324,1.17968223073035,0.920902604036847,0.941734842921366,1.04305716547033,82304.4549114332,62858.7043699187,59384.2842202399,52458.7172423888,63191.1486495281,64848.4529032258,67101.7607647059,53491.4069836956,0.76777312622418,1.03165430393852,1.12995823130315,1.01968576045303,1.11571881319986,0.0842023202887955,1.11571881319986,0.0842023202887955,0.233960118614679,"ns",0.899629979169524,0.130481999499461,0.354548907237727,"ns",1.02134421078972,0.118277285476654,0.858742516932429,"ns",0.987267855479721,0.154444765631858,0.780807119009508,"ns"
"8","P52565",115.4,152.3,136.7,155.7,127.3,140.2,163.2,160.9,153.8,156.4,148.8,152.6,139.6,192,164.5,147.4,"P52565","m1","P52565-K138","P52565-K138-m1","P52565-K138-m1-12",73110.9,5804.21841594543,79618.7,1756.30923624894,1.08901271903369,0.0370329520917602,0.107187079243083,0.969857563072619,"ns",0.870322835065306,0.988730012750438,1.03197874732868,0.972540907950826,0.965893125773813,0.0684755583086843,0.327997916009489,0.484128915643365,"ns","ARHGDIA",0.00194062299297565,0.0020232518728663,0.00183174307341375,0.0018912705347239,0.00173199156517106,0.00217843733237976,0.00173168618350046,0.0020230710660558,1.33275563258232,1.02692055154301,1.08851499634236,0.980089916506102,1.10311958405546,0.920551543007223,1.19385515727871,1.03339755940912,0.907672301690507,1.22762148337596,1.10551075268817,0.965923984272608,0.822823123449211,1.33357169699115,0.926000734635252,0.934707050038813,1.12045753108733,0.928762945251251,1.05778003593644,0.934851259778598,73499.2032062392,64358.0597504925,94243.4036576445,79532.5496467566,71935.6621586476,94896.73657289,89805.1710349463,77937.0255570118,0.978727102072056,1.47451208039509,0.952906702745787,0.979938728271239,1.10707027424345,0.156871676439263,1.10707027424345,0.156871676439263,0.256561260101673,"ns",1.00427565127861,0.225335053073993,0.908629796414432,"ns",1.0104629430134,0.0943923248366034,0.965728867224216,"ns",1.09652115337104,0.252302167849367,0.511183695723134,"ns"
"9","P43487",221.3,189.4,181.5,169,164.9,165.1,169.4,175.7,198.9,181.5,222.8,200.3,185.2,258.5,194.4,177,"P43487","m1","P43487-K183","P43487-K183-m1","P43487-K183-m1-16",107040.05,11270.6669351611,113039.775,13545.1288002674,1.05605121634379,0.0236849811107788,0.522093707864787,0.28225154075992,"ns",0.777949152898427,0.949989169984704,1.20481664911833,0.908322827061918,0.960269449765845,0.178743912832196,0.695987743368171,0.157398408427426,"ns","RANBP1",0.00170497795272351,0.00178119645370165,0.00216459258928216,0.0015328268295968,0.002321042193044,0.00189825969475503,0.00159085351263085,0.00142076741617052,0.898779936737461,0.958289334741288,1.22754820936639,1.18520710059172,0.745142340713963,0.871700105596621,0.933333333333333,1.0396449704142,0.931121166415284,1.42424242424242,0.872531418312388,0.883674488267599,1.24958832096848,1.63386744489107,0.934855091048987,0.849977168567013,0.734574303661175,0.938331282396802,1.3606485902668,1.07887245452765,71045.6709896069,86974.4010559662,106483.72,123665.561301775,108623.105480141,145127.16969697,89809.0481149013,115472.926610085,1.52891941151532,1.66861936311103,0.843406373433434,0.933751687976427,1.06745614535921,0.163160261003044,1.06745614535921,0.163160261003044,0.480719986523522,"ns",1.16707200636889,0.355518755024026,0.420360415809589,"ns",1.02810665771311,0.262920877782153,0.962245897093746,"ns",1.24367420900905,0.415615815702917,0.316709012457153,"ns"
"10","Q99729",188.5,196.2,154.2,193.3,286,195.1,183.1,121.9,243.4,196.1,156.9,227.9,317,229.8,206.9,150.8,"Q99729","m1","Q99729-K118","Q99729-K118-m1","Q99729-K118-m1-18",87777.975,8570.97737576254,106759.375,7910.79790091787,1.21624331160522,0.0850204650002039,0.017520903172184,1.75644351046327,"Up with DZNep",0.817231820861869,1.0637507086822,0.95342031308081,1.06787911166249,0.975570488571842,0.118121966743497,0.62941217140589,0.201064863069914,"ns","HNRNPAB",0.00212239801328199,0.002041290062009,0.0014760196200543,0.00207201031368363,0.00216413438069018,0.00241870464928783,0.00186176345945111,0.00193169417473788,1.29124668435013,0.999490316004077,1.01750972762646,1.17899637868598,1.51724137931034,0.994393476044852,1.18741893644617,0.630625969994827,1.30238290879211,1.1718510963794,1.31867431485022,0.661693725318122,0.858388735340256,1.1784581502288,1.11053839076955,1.04926494753071,0.980714521343689,0.843960035637277,0.792807277724458,1.07263889945974,132154.455172414,80663.0111111111,98347.6171854734,63105.2273150543,149359.355792933,112575.867720551,140174.28846399,72779.5605089952,1.13018782150078,1.39563185368174,1.4252942010749,1.15330478322567,1.12181077666666,0.138828099723396,1.12181077666666,0.138828099723396,0.33791842966342,"ns",1.04916255596733,0.137694111364984,0.901284268130994,"ns",0.922530183541291,0.12769670342314,0.432646691820119,"ns",1.27610466487077,0.155901467481836,0.310112331747981,"ns"
